,SHY,IEF,TLT,TIP,LQD,HYG,MBB,BOND,AGG,MOVE,JAAA,BKLN,CMBS,SGOV,BIL,USFR
2020-11-10,75.20036315917969,102.9758071899414,129.9786376953125,101.21694946289062,109.60157775878906,63.473594665527344,92.90853881835938,89.15727233886719,98.98455810546875,46.189998626708984,39.551143646240234,15.400492668151855,46.192867279052734,84.37093353271484,77.33055877685547,42.1340217590332
2020-11-11,75.18293762207031,103.13985443115234,130.44775390625,101.39540100097656,109.8048095703125,63.45140075683594,93.01001739501953,89.13333129882812,99.04374694824219,46.189998626708984,39.562171936035156,15.421496391296387,46.243473052978516,84.37093353271484,77.33055877685547,42.11723327636719
2020-11-12,75.19166564941406,103.7269058227539,132.6676788330078,101.6793441772461,110.24382781982422,63.022125244140625,93.05225372314453,89.39676666259766,99.4581069946289,44.16999816894531,39.57007598876953,15.372486114501953,46.243473052978516,84.37093353271484,77.33055877685547,42.11723327636719
2020-11-13,75.19166564941406,103.58880615234375,132.49179077148438,101.67125701904297,110.3739242553711,63.23673629760742,93.0860824584961,89.54846954345703,99.47498321533203,42.95000076293945,39.58976745605469,15.372486114501953,46.41214370727539,84.37093353271484,77.33903503417969,42.100486755371094
2020-11-16,75.2091064453125,103.5111312866211,132.17343139648438,101.53331756591797,110.73160552978516,63.592044830322266,93.0438003540039,89.54846954345703,99.46653747558594,42.4900016784668,39.60947036743164,15.421496391296387,46.32780075073242,84.37093353271484,77.33903503417969,42.1340217590332
2020-11-17,75.20036315917969,103.77876281738281,133.0362548828125,101.70366668701172,111.08938598632812,63.614192962646484,93.0860824584961,89.58039093017578,99.66950988769531,43.08000183105469,39.6134033203125,15.358498573303223,46.40372848510742,84.37093353271484,77.33903503417969,42.1340217590332
2020-11-18,75.20036315917969,103.7442398071289,133.4216766357422,101.73612976074219,111.3250961303711,63.49580764770508,93.10301971435547,89.67620086669922,99.73714447021484,43.619998931884766,39.629180908203125,15.358498573303223,46.3615608215332,84.3751449584961,77.33903503417969,42.1340217590332
2020-11-19,75.21781158447266,103.85647583007812,134.10853576660156,101.84156036376953,111.9429931640625,63.71044158935547,93.12836456298828,89.88375091552734,99.92318725585938,43.529998779296875,39.6252326965332,15.372486114501953,46.42060089111328,84.37093353271484,77.33903503417969,42.1340217590332
2020-11-20,75.22654724121094,104.03778076171875,135.298095703125,102.06873321533203,111.8454360961914,63.592044830322266,93.13678741455078,89.93167877197266,100.02464294433594,42.310001373291016,39.581878662109375,15.379490852355957,46.43747329711914,84.37093353271484,77.33903503417969,42.1340217590332
2020-11-23,75.22654724121094,103.83052825927734,134.67822265625,101.98760223388672,111.98365020751953,63.68824005126953,93.13678741455078,89.96357727050781,99.9992904663086,43.040000915527344,39.62130355834961,15.416701316833496,46.504920959472656,84.3751449584961,77.33903503417969,42.13569259643555
